rank,city,total,urban,rural,year,rate
42,Ãanakkale,519.793,308.141,211.652,2016,%59 %41
75,ÃankÄ±rÄ±,183.880,129.628,54.252,2016,%71 %30
40,Ãorum,527.863,388.789,139.074,2016,%74 %26
21,Denizli,1.005.687,1.005.687,[not 1],2016,%100 %0
12,DiyarbakÄ±r,1.673.119,1.673.119,[not 1],2016,%100 %0
51,DÃ¼zce,370.371,235.697,134.674,2016,%64 %36
48,Edirne,401.701,290.723,110.978,2016,%72 %28
36,ElazÄ±Ä,578.789,446.023,132.766,2016,%77 %23
70,Erzincan,226.032,130.304,95.728,2016,%58 %42
29,Erzurum,762.021,762.021,[not 1],2016,%100 %0
25,EskiÅehir,844.842,844.842,[not 1],2016,%100 %0
8,Gaziantep,1.974.244,1.974.244,[not 1],2016,%100 %0
44,Giresun,444.467,292.614,151.853,2016,%66 %34
76,GÃ¼mÃ¼Åhane,172.034,121.533,50.501,2016,%71 %29
64,HakkÃ¢ri,267.813,146.538,121.275,2016,%55 %45
13,Hatay,1.555.165,1.555.165,[not 1],2016,%100 %0
73,IÄdÄ±r,192.785,108.204,84.581,2016,%56 %44
45,Isparta,427.324,307.162,120.162,2016,%72 %28
1,Ä°stanbul,14.804.116,14.804.116,[not 1],2016,%100 %0
3,Ä°zmir,4.223.545,4.223.545,[not 1],2016,%100 %0
18,KahramanmaraÅ,1.112.634,1.112.634,[not 1],2016,%100 %0
67,KarabÃ¼k,242.347,184.413,57.934,2016,%76 %24
66,Karaman,245.610,180.165,65.445,2016,%73 %27
61,Kars,289.786,133.528,156.258,2016,%46 %54
50,Kastamonu,376.945,236.363,140.582,2016,%63 %37
15,Kayseri,1.358.980,1.358.980,[not 1],2016,%100 %0
78,Kilis,130.825,97.561,33.264,2016,%75 %25
62,KÄ±rÄ±kkale,277.984,243.895,34.089,2016,%88 %12
53,KÄ±rklareli,351.684,248.017,103.667,2016,%71 %29
69,KÄ±rÅehir,229.975,178.324,51.651,2016,%78 %22
10,Kocaeli,1.830.772,1.830.772,[not 1],2016,%100 %0
7,Konya,2.161.303,2.161.303,[not 1],2016,%100 %0
38,KÃ¼tahya,573.642,399.598,174.044,2016,%70 %30
27,Malatya,781.305,781.305,[not 1],2016,%100 %0
14,Manisa,1.396.945,1.396.945,[not 1],2016,%100 %0
26,Mardin,796.237,796.237,[not 1],2016,%100 %0
11,Mersin,1.773.852,1.773.852,[not 1],2016,%100 %0
24,MuÄla,923.773,923.773,[not 1],2016,%100 %0
47,MuÅ,406.501,164.669,241.832,2016,%41 %59
60,NevÅehir,290.895,178.976,111.919,2016,%62 %38
54,NiÄde,351.468,196.220,155.248,2016,%56 %44
30,Ordu,750.588,750.588,[not 1],2016,%100 %0
41,Osmaniye,522.175,397.944,124.231,2016,%76 %24
56,Rize,331.048,221.040,110.008,2016,%67 %33
22,Sakarya,976.948,976.948,[not 1],2016,%100 %0
16,Samsun,1.295.927,1.295.927,[not 1],2016,%100 %0
9,ÅanlÄ±urfa,1.940.627,1.940.627,[not 1],2016,%100 %0
58,Siirt,322.664,206.917,115.747,2016,%64 %36
72,Sinop,205.478,119.258,86.220,2016,%58 %42
43,ÅÄ±rnak,483.788,298.332,185.456,2016,%62 %38
32,Sivas,621.224,458.656,162.568,2016,%74 %26
23,TekirdaÄ,972.875,972.875,[not 1],2016,%100 %0
34,Tokat,602.662,387.205,215.457,2016,%64 %36
28,Trabzon,779.379,779.379,[not 1],2016,%100 %0
81,Tunceli,82.193,53.572,28.621,2016,%65 %35
52,UÅak,358.736,253.733,105.003,2016,%71 %29
19,Van,1.100.190,1.100.190,[not 1],2016,%100 %0
68,Yalova,241.665,175.319,66.346,2016,%73 %27
46,Yozgat,421.041,268.324,152.717,2016,%64 %36
35,Zonguldak,597.524,367.628,229.896,2016,%62 %38
6,Adana,2.216.475,2.216.475,[not 1],2017,%100 %0
33,AdÄ±yaman,615.076,414.025,201.051,2017,%67 %33
31,Afyonkarahisar,715.693,422.268,293.425,2017,%59 %41
39,AÄrÄ±,536.285,305.531,230.754,2017,%57 %43
49,Aksaray,402.404,279.254,123.150,2017,%69 %31
57,Amasya,329.888,237.142,92.746,2017,%72 %28
2,Ankara,5.445.026,5.445.026,[not 1],2017,%100 %0
5,Antalya,2.364.396,2.364.396,[not 1],2017,%100 %0
79,Ardahan,97.096,38.162,58.934,2017,%39 %61
77,Artvin,166.143,104.578,61.565,2017,%63 %37
20,AydÄ±n,1.080.839,1.080.839,[not 1],2017,%100 %0
17,BalÄ±kesir,1.204.824,1.204.824,[not 1],2017,%100 %0
74,BartÄ±n,193.577,83.120,110.457,2017,%43 %57
36,Batman,585.252,462.893,122.359,2017,%79 %21
81,Bayburt,80.417,49.603,30.814,2017,%62 %38
71,Bilecik,221.693,179.248,42.445,2017,%81 %19
64,BingÃ¶l,273.354,175.824,97.530,2017,%64 %36
55,Bitlis,341.474,199.202,142.272,2017,%58 %42
59,Bolu,303.184,218.001,85.183,2017,%72 %28
65,Burdur,264.779,181.030,83.749,2017,%68 %32
4,Bursa,2.936.803,2.936.803,[not 1],2017,%100 %0
40,Ãanakkale,530.417,319.786,210.631,2017,%60 %40
75,ÃankÄ±rÄ±,186.074,133.056,53.018,2017,%72 %28
41,Ãorum,528.422,392.654,135.768,2017,%74 %26
21,Denizli,1.018.735,1.018.735,[not 1],2017,%100 %0
12,DiyarbakÄ±r,1.699.901,1.699.901,[not 1],2017,%100 %0
50,DÃ¼zce,377.610,244.068,133.542,2017,%65 %35
47,Edirne,406.855,298.264,108.591,2017,%73 %27
37,ElazÄ±Ä,583.671,452.615,131.056,2017,%78 %22
70,Erzincan,231.511,130.224,101.287,2017,%56 %44
29,Erzurum,760.476,760.476,[not 1],2017,%100 %0
25,EskiÅehir,860.620,860.620,[not 1],2017,%100 %0
8,Gaziantep,2.005.515,2.005.515,[not 1],2017,%100 %0
44,Giresun,437.393,290.637,146.756,2017,%66 %34
76,GÃ¼mÃ¼Åhane,170.173,122.805,47.368,2017,%72 %28
63,HakkÃ¢ri,275.761,150.058,125.703,2017,%54 %46
13,Hatay,1.575.226,1.575.226,[not 1],2017,%100 %0
73,IÄdÄ±r,194.775,110.240,84.535,2017,%57 %43
45,Isparta,433.830,315.533,118.297,2017,%73 %27
1,Ä°stanbul,15.029.231,15.029.231,[not 1],2017,%100 %0
3,Ä°zmir,4.279.677,4.279.677,[not 1],2017,%100 %0
18,KahramanmaraÅ,1.127.623,1.127.623,[not 1],2017,%100 %0
68,KarabÃ¼k,244.453,186.450,58.003,2017,%76 %24
67,Karaman,246.672,182.510,64.162,2017,%74 %26
61,Kars,287.654,135.948,151.706,2017,%47 %53
51,Kastamonu,372.373,233.814,138.559,2017,%63 %37
15,Kayseri,1.376.722,1.376.722,[not 1],2017,%100 %0
78,Kilis,136.319,102.168,34.151,2017,%75 %25
62,KÄ±rÄ±kkale,278.749,245.749,33.000,2017,%88 %12
53,KÄ±rklareli,356.050,253.754,102.296,2017,%71 %29
69,KÄ±rÅehir,234.529,184.445,50.084,2017,%79 %21
10,Kocaeli,1.883.270,1.883.270,[not 1],2017,%100 %0
7,Konya,2.180.149,2.180.149,[not 1],2017,%100 %0
38,KÃ¼tahya,572.256,402.348,169.908,2017,%70 %30
27,Malatya,786.676,786.676,[not 1],2017,%100 %0
14,Manisa,1.413.041,1.413.041,[not 1],2017,%100 %0
26,Mardin,809.719,809.719,[not 1],2017,%100 %0
11,Mersin,1.793.931,1.793.931,[not 1],2017,%100 %0
24,MuÄla,938.751,938.751,[not 1],2017,%100 %0
48,MuÅ,404.544,168.023,236.521,2017,%42 %58
60,NevÅehir,292.365,182.965,109.400,2017,%63 %37
54,NiÄde,352.727,199.485,153.242,2017,%57 %43
30,Ordu,742.341,742.341,[not 1],2017,%100 %0
42,Osmaniye,527.724,405.036,122.688,2017,%77 %23
56,Rize,331.041,222.418,108.623,2017,%67 %33
23,Sakarya,990.214,990.214,[not 1],2017,%100 %0
16,Samsun,1.312.990,1.312.990,[not 1],2017,%100 %0
9,ÅanlÄ±urfa,1.985.753,1.985.753,[not 1],2017,%100 %0
58,Siirt,324.394,209.390,115.004,2017,%65 %35
72,Sinop,207.427,118.692,88.735,2017,%57 %43
43,ÅÄ±rnak,503.236,311.887,191.349,2017,%62 %38
32,Sivas,621.301,464.455,156.846,2017,%75 %25
22,TekirdaÄ,1.005.463,1.005.463,[not 1],2017,%100 %0
34,Tokat,602.086,389.603,212.483,2017,%65 %35
28,Trabzon,786.326,786.326,[not 1],2017,%100 %0
80,Tunceli,82.498,54.382,28.116,2017,%66 %34
52,UÅak,364.971,258.744,106.227,2017,%71 %29
19,Van,1.106.891,1.106.891,[not 1],2017,%100 %0
66,Yalova,251.203,181.036,70.167,2017,%72 %28
46,Yozgat,418.650,269.334,149.316,2017,%64 %36
35,Zonguldak,596.892,371.071,225.821,2017,%62 %38
6,Adana,2.220.125,2.220.125,[not 1],2018,%100 %0
33,AdÄ±yaman,624.513,421.889,202.624,2018,%68 %32
